id;arabicVocalized;arabicUnvocalized;transliteration;german;categoryId;category;partOfSpeech;gender;pluralVocalized;pluralUnvocalized;root;usageNote;hint;frequencyBand;cefrLevel;difficulty;stage;tags;status;lemmaVocalized;lemmaUnvocalized;pattern;wordFamily;collocations;register;activeUse;translationNote
social_evening_reply;مَسَاءُ النُّورِ;مساء النور;masāʾu n-nūr;Guten Abend (Antwort);social;Begrüßung & Höflichkeit;phrase;;;;;;;core;A0;1;1;social|fusha|a0;draft;مَسَاءُ النُّورِ;مساء النور;;;;neutral;true;
social_excuse_me;عَفْوًا;عفوا;ʿafwan;Entschuldigung / gern geschehen;social;Begrüßung & Höflichkeit;phrase;;;;;;;core;A0;1;1;social|fusha|a0;draft;عَفْوًا;عفوا;;;;neutral;true;
social_sorry;آسِفٌ;آسف;āsifun;Entschuldigung / es tut mir leid (m.);social;Begrüßung & Höflichkeit;adjective;;;;;;;core;A0;1;1;social|fusha|a0;draft;آسِفٌ;آسف;;;;neutral;true;
question_what;مَاذَا;ماذا;māḏā;was?;questions;Fragewörter;pronoun;;;;;;;core;A0;1;1;questions|fusha|a0;draft;مَاذَا;ماذا;;;;neutral;true;
question_who;مَنْ;من;man;wer?;questions;Fragewörter;pronoun;;;;;;;core;A0;1;1;questions|fusha|a0;draft;مَنْ;من;;;;neutral;true;
question_where;أَيْنَ;أين;ayna;wo?;questions;Fragewörter;adverb;;;;;;;core;A0;1;1;questions|fusha|a0;draft;أَيْنَ;أين;;;;neutral;true;
question_how;كَيْفَ;كيف;kayfa;wie?;questions;Fragewörter;adverb;;;;;;;core;A0;1;1;questions|fusha|a0;draft;كَيْفَ;كيف;;;;neutral;true;
demonstrative_this_m;هٰذَا;هذا;hāḏā;dieser / das (m.);grammar_words;Grammatische Grundwörter;pronoun;;;;;;;core;A0;1;1;grammar_words|fusha|a0;draft;هٰذَا;هذا;;;;neutral;true;
demonstrative_this_f;هٰذِهِ;هذه;hāḏihi;diese / das (w.);grammar_words;Grammatische Grundwörter;pronoun;;;;;;;core;A0;1;1;grammar_words|fusha|a0;draft;هٰذِهِ;هذه;;;;neutral;true;
pronoun_i;أَنَا;أنا;anā;ich;grammar_words;Grammatische Grundwörter;pronoun;;;;;;;core;A0;1;1;grammar_words|fusha|a0;draft;أَنَا;أنا;;;;neutral;true;
pronoun_you_m;أَنْتَ;أنت;anta;du (m.);grammar_words;Grammatische Grundwörter;pronoun;;;;;;;core;A0;1;1;grammar_words|fusha|a0;draft;أَنْتَ;أنت;;;;neutral;true;
pronoun_you_f;أَنْتِ;أنت;anti;du (w.);grammar_words;Grammatische Grundwörter;pronoun;;;;;;;core;A0;1;1;grammar_words|fusha|a0;draft;أَنْتِ;أنت;;;;neutral;true;
pronoun_he;هُوَ;هو;huwa;er;grammar_words;Grammatische Grundwörter;pronoun;;;;;;;core;A0;1;1;grammar_words|fusha|a0;draft;هُوَ;هو;;;;neutral;true;
pronoun_she;هِيَ;هي;hiya;sie;grammar_words;Grammatische Grundwörter;pronoun;;;;;;;core;A0;1;1;grammar_words|fusha|a0;draft;هِيَ;هي;;;;neutral;true;
pronoun_we;نَحْنُ;نحن;naḥnu;wir;grammar_words;Grammatische Grundwörter;pronoun;;;;;;;core;A0;1;1;grammar_words|fusha|a0;draft;نَحْنُ;نحن;;;;neutral;true;
pronoun_they_m;هُمْ;هم;hum;sie (m./gemischt);grammar_words;Grammatische Grundwörter;pronoun;;;;;;;core;A0;1;1;grammar_words|fusha|a0;draft;هُمْ;هم;;;;neutral;true;
number_four;أَرْبَعَةٌ;أربعة;arbaʿatun;vier;numbers;Zahlen;number;;;;;;;core;A0;1;1;numbers|fusha|a0;draft;أَرْبَعَةٌ;أربعة;;;;neutral;true;
number_five;خَمْسَةٌ;خمسة;khamsatun;fünf;numbers;Zahlen;number;;;;;;;core;A0;1;1;numbers|fusha|a0;draft;خَمْسَةٌ;خمسة;;;;neutral;true;
number_six;سِتَّةٌ;ستة;sittatun;sechs;numbers;Zahlen;number;;;;;;;core;A0;1;1;numbers|fusha|a0;draft;سِتَّةٌ;ستة;;;;neutral;true;
number_seven;سَبْعَةٌ;سبعة;sabʿatun;sieben;numbers;Zahlen;number;;;;;;;core;A0;1;1;numbers|fusha|a0;draft;سَبْعَةٌ;سبعة;;;;neutral;true;
number_eight;ثَمَانِيَةٌ;ثمانية;ṯamāniyatun;acht;numbers;Zahlen;number;;;;;;;core;A0;1;1;numbers|fusha|a0;draft;ثَمَانِيَةٌ;ثمانية;;;;neutral;true;
number_nine;تِسْعَةٌ;تسعة;tisʿatun;neun;numbers;Zahlen;number;;;;;;;core;A0;1;1;numbers|fusha|a0;draft;تِسْعَةٌ;تسعة;;;;neutral;true;
number_ten;عَشَرَةٌ;عشرة;ʿašaratun;zehn;numbers;Zahlen;number;;;;;;;core;A0;1;1;numbers|fusha|a0;draft;عَشَرَةٌ;عشرة;;;;neutral;true;
time_now;اَلْآنَ;الآن;al-āna;jetzt;time;Zeit;adverb;;;;;;;core;A0;1;1;time|fusha|a0;draft;اَلْآنَ;الآن;;;;neutral;true;
time_tomorrow;غَدًا;غدا;ghadan;morgen;time;Zeit;adverb;;;;;;;core;A0;1;1;time|fusha|a0;draft;غَدًا;غدا;;;;neutral;true;
time_yesterday;أَمْسِ;أمس;amsi;gestern;time;Zeit;adverb;;;;;;;core;A0;1;1;time|fusha|a0;draft;أَمْسِ;أمس;;;;neutral;true;
place_here;هُنَا;هنا;hunā;hier;places;Orte & Unterwegs;adverb;;;;;;;core;A0;1;1;places|fusha|a0;draft;هُنَا;هنا;;;;neutral;true;
place_there;هُنَاكَ;هناك;hunāka;dort;places;Orte & Unterwegs;adverb;;;;;;;core;A0;1;1;places|fusha|a0;draft;هُنَاكَ;هناك;;;;neutral;true;
family_husband;زَوْجٌ;زوج;zawjun;Ehemann;family;Familie & Menschen;noun;masculine;;;;;;core;A1;2;2;family|fusha|a1;draft;زَوْجٌ;زوج;;;;neutral;true;
family_wife;زَوْجَةٌ;زوجة;zawjatun;Ehefrau;family;Familie & Menschen;noun;feminine;;;;;;core;A1;2;2;family|fusha|a1;draft;زَوْجَةٌ;زوجة;;;;neutral;true;
people_child;طِفْلٌ;طفل;ṭiflun;Kind;family;Familie & Menschen;noun;masculine;;;;;;core;A1;2;2;family|fusha|a1;draft;طِفْلٌ;طفل;;;;neutral;true;
people_man;رَجُلٌ;رجل;rajulun;Mann;family;Familie & Menschen;noun;masculine;;;;;;core;A1;2;2;family|fusha|a1;draft;رَجُلٌ;رجل;;;;neutral;true;
people_woman;اِمْرَأَةٌ;امرأة;imraʾatun;Frau;family;Familie & Menschen;noun;feminine;;;;;;core;A1;2;2;family|fusha|a1;draft;اِمْرَأَةٌ;امرأة;;;;neutral;true;
people_friend_m;صَدِيقٌ;صديق;ṣadīqun;Freund;family;Familie & Menschen;noun;masculine;;;;;;core;A1;2;2;family|fusha|a1;draft;صَدِيقٌ;صديق;;;;neutral;true;
people_friend_f;صَدِيقَةٌ;صديقة;ṣadīqatun;Freundin;family;Familie & Menschen;noun;feminine;;;;;;core;A1;2;2;family|fusha|a1;draft;صَدِيقَةٌ;صديقة;;;;neutral;true;
family_household;أُسْرَةٌ;أسرة;usratun;Familie / Haushalt;family;Familie & Menschen;noun;feminine;;;;;;core;A1;2;2;family|fusha|a1;draft;أُسْرَةٌ;أسرة;;;;neutral;true;
family_parents;وَالِدَانِ;والدان;wālidāni;Eltern;family;Familie & Menschen;noun;masculine;;;;;;core;A1;2;2;family|fusha|a1;draft;وَالِدَانِ;والدان;;;;neutral;true;
people_people;نَاسٌ;ناس;nāsun;Menschen / Leute;family;Familie & Menschen;noun;masculine;;;;;;core;A1;2;2;family|fusha|a1;draft;نَاسٌ;ناس;;;;neutral;true;
home_table;طَاوِلَةٌ;طاولة;ṭāwilatun;Tisch;home;Zuhause;noun;feminine;;;;;;core;A1;2;2;home|fusha|a1;draft;طَاوِلَةٌ;طاولة;;;;neutral;true;
home_bed;سَرِيرٌ;سرير;sarīrun;Bett;home;Zuhause;noun;masculine;;;;;;core;A1;2;2;home|fusha|a1;draft;سَرِيرٌ;سرير;;;;neutral;true;
home_bathroom;حَمَّامٌ;حمام;ḥammāmun;Badezimmer;home;Zuhause;noun;masculine;;;;;;core;A1;2;2;home|fusha|a1;draft;حَمَّامٌ;حمام;;;;neutral;true;
home_wall;جِدَارٌ;جدار;jidārun;Wand;home;Zuhause;noun;masculine;;;;;;core;A1;2;2;home|fusha|a1;draft;جِدَارٌ;جدار;;;;neutral;true;
home_floor;أَرْضِيَّةٌ;أرضية;arḍiyyatun;Fußboden;home;Zuhause;noun;feminine;;;;;;core;A1;2;2;home|fusha|a1;draft;أَرْضِيَّةٌ;أرضية;;;;neutral;true;
home_key;مِفْتَاحٌ;مفتاح;miftāḥun;Schlüssel;home;Zuhause;noun;masculine;;;;;;core;A1;2;2;home|fusha|a1;draft;مِفْتَاحٌ;مفتاح;;;;neutral;true;
home_lamp;مِصْبَاحٌ;مصباح;miṣbāḥun;Lampe;home;Zuhause;noun;masculine;;;;;;core;A1;2;2;home|fusha|a1;draft;مِصْبَاحٌ;مصباح;;;;neutral;true;
home_garden;حَدِيقَةٌ;حديقة;ḥadīqatun;Garten;home;Zuhause;noun;feminine;;;;;;core;A1;2;2;home|fusha|a1;draft;حَدِيقَةٌ;حديقة;;;;neutral;true;
food_apple;تُفَّاحَةٌ;تفاحة;tuffāḥatun;Apfel;food;Essen & Trinken;noun;feminine;;;;;;core;A1;2;2;food|fusha|a1;draft;تُفَّاحَةٌ;تفاحة;;;;neutral;true;
food_rice;أَرُزٌّ;أرز;aruzzun;Reis;food;Essen & Trinken;noun;masculine;;;;;;core;A1;2;2;food|fusha|a1;draft;أَرُزٌّ;أرز;;;;neutral;true;
food_meat;لَحْمٌ;لحم;laḥmun;Fleisch;food;Essen & Trinken;noun;masculine;;;;;;core;A1;2;2;food|fusha|a1;draft;لَحْمٌ;لحم;;;;neutral;true;
food_fish;سَمَكٌ;سمك;samakun;Fisch;food;Essen & Trinken;noun;masculine;;;;;;core;A1;2;2;food|fusha|a1;draft;سَمَكٌ;سمك;;;;neutral;true;
food_fruit;فَاكِهَةٌ;فاكهة;fākihatun;Obst;food;Essen & Trinken;noun;feminine;;;;;;core;A1;2;2;food|fusha|a1;draft;فَاكِهَةٌ;فاكهة;;;;neutral;true;
food_vegetables;خُضْرَوَاتٌ;خضروات;khuḍrawātun;Gemüse;food;Essen & Trinken;noun;feminine;;;;;;core;A1;2;2;food|fusha|a1;draft;خُضْرَوَاتٌ;خضروات;;;;neutral;true;
food_sugar;سُكَّرٌ;سكر;sukkarun;Zucker;food;Essen & Trinken;noun;masculine;;;;;;core;A1;2;2;food|fusha|a1;draft;سُكَّرٌ;سكر;;;;neutral;true;
food_salt;مِلْحٌ;ملح;milḥun;Salz;food;Essen & Trinken;noun;masculine;;;;;;core;A1;2;2;food|fusha|a1;draft;مِلْحٌ;ملح;;;;neutral;true;
food_breakfast;فُطُورٌ;فطور;fuṭūrun;Frühstück;food;Essen & Trinken;noun;masculine;;;;;;core;A1;2;2;food|fusha|a1;draft;فُطُورٌ;فطور;;;;neutral;true;
food_dinner;عَشَاءٌ;عشاء;ʿašāʾun;Abendessen;food;Essen & Trinken;noun;masculine;;;;;;core;A1;2;2;food|fusha|a1;draft;عَشَاءٌ;عشاء;;;;neutral;true;
education_university;جَامِعَةٌ;جامعة;jāmiʿatun;Universität;education;Lernen & Sprache;noun;feminine;;;;;;core;A1;2;2;education|fusha|a1;draft;جَامِعَةٌ;جامعة;;;;neutral;true;
education_classroom;صَفٌّ;صف;ṣaffun;Klasse / Unterrichtsraum;education;Lernen & Sprache;noun;masculine;;;;;;core;A1;2;2;education|fusha|a1;draft;صَفٌّ;صف;;;;neutral;true;
education_question;سُؤَالٌ;سؤال;suʾālun;Frage;education;Lernen & Sprache;noun;masculine;;;;;;core;A1;2;2;education|fusha|a1;draft;سُؤَالٌ;سؤال;;;;neutral;true;
education_answer;جَوَابٌ;جواب;jawābun;Antwort;education;Lernen & Sprache;noun;masculine;;;;;;core;A1;2;2;education|fusha|a1;draft;جَوَابٌ;جواب;;;;neutral;true;
education_language;لُغَةٌ;لغة;lughatun;Sprache;education;Lernen & Sprache;noun;feminine;;;;;;core;A1;2;2;education|fusha|a1;draft;لُغَةٌ;لغة;;;;neutral;true;
education_word;كَلِمَةٌ;كلمة;kalimatun;Wort;education;Lernen & Sprache;noun;feminine;;;;;;core;A1;2;2;education|fusha|a1;draft;كَلِمَةٌ;كلمة;;;;neutral;true;
education_sentence;جُمْلَةٌ;جملة;jumlatun;Satz;education;Lernen & Sprache;noun;feminine;;;;;;core;A1;2;2;education|fusha|a1;draft;جُمْلَةٌ;جملة;;;;neutral;true;
education_exam;اِمْتِحَانٌ;امتحان;imtiḥānun;Prüfung;education;Lernen & Sprache;noun;masculine;;;;;;core;A1;2;2;education|fusha|a1;draft;اِمْتِحَانٌ;امتحان;;;;neutral;true;
time_hour;سَاعَةٌ;ساعة;sāʿatun;Stunde / Uhr;time;Zeit;noun;feminine;;;;;;core;A1;2;2;time|fusha|a1;draft;سَاعَةٌ;ساعة;;;;neutral;true;
time_minute;دَقِيقَةٌ;دقيقة;daqīqatun;Minute;time;Zeit;noun;feminine;;;;;;core;A1;2;2;time|fusha|a1;draft;دَقِيقَةٌ;دقيقة;;;;neutral;true;
time_week;أُسْبُوعٌ;أسبوع;usbūʿun;Woche;time;Zeit;noun;masculine;;;;;;core;A1;2;2;time|fusha|a1;draft;أُسْبُوعٌ;أسبوع;;;;neutral;true;
time_month;شَهْرٌ;شهر;šahrun;Monat;time;Zeit;noun;masculine;;;;;;core;A1;2;2;time|fusha|a1;draft;شَهْرٌ;شهر;;;;neutral;true;
time_year;سَنَةٌ;سنة;sanatun;Jahr;time;Zeit;noun;feminine;;;;;;core;A1;2;2;time|fusha|a1;draft;سَنَةٌ;سنة;;;;neutral;true;
time_monday;اَلِاثْنَيْنِ;الاثنين;al-iṯnayni;Montag;time;Zeit;noun;masculine;;;;;;core;A1;2;2;time|fusha|a1;draft;اَلِاثْنَيْنِ;الاثنين;;;;neutral;true;
time_friday;اَلْجُمُعَةِ;الجمعة;al-jumuʿati;Freitag;time;Zeit;noun;feminine;;;;;;core;A1;2;2;time|fusha|a1;draft;اَلْجُمُعَةِ;الجمعة;;;;neutral;true;
adjective_big;كَبِيرٌ;كبير;kabīrun;groß;adjectives;Grundadjektive;adjective;;;;;;;core;A1;2;2;adjectives|fusha|a1;draft;كَبِيرٌ;كبير;;;;neutral;true;
adjective_small;صَغِيرٌ;صغير;ṣaghīrun;klein;adjectives;Grundadjektive;adjective;;;;;;;core;A1;2;2;adjectives|fusha|a1;draft;صَغِيرٌ;صغير;;;;neutral;true;
adjective_good;جَيِّدٌ;جيد;jayyidun;gut;adjectives;Grundadjektive;adjective;;;;;;;core;A1;2;2;adjectives|fusha|a1;draft;جَيِّدٌ;جيد;;;;neutral;true;
adjective_bad;سَيِّئٌ;سيئ;sayyiʾun;schlecht;adjectives;Grundadjektive;adjective;;;;;;;core;A1;2;2;adjectives|fusha|a1;draft;سَيِّئٌ;سيئ;;;;neutral;true;
adjective_new;جَدِيدٌ;جديد;jadīdun;neu;adjectives;Grundadjektive;adjective;;;;;;;core;A1;2;2;adjectives|fusha|a1;draft;جَدِيدٌ;جديد;;;;neutral;true;
adjective_old;قَدِيمٌ;قديم;qadīmun;alt;adjectives;Grundadjektive;adjective;;;;;;;core;A1;2;2;adjectives|fusha|a1;draft;قَدِيمٌ;قديم;;;;neutral;true;
adjective_beautiful;جَمِيلٌ;جميل;jamīlun;schön;adjectives;Grundadjektive;adjective;;;;;;;core;A1;2;2;adjectives|fusha|a1;draft;جَمِيلٌ;جميل;;;;neutral;true;
adjective_easy;سَهْلٌ;سهل;sahlun;einfach;adjectives;Grundadjektive;adjective;;;;;;;core;A1;2;2;adjectives|fusha|a1;draft;سَهْلٌ;سهل;;;;neutral;true;
adjective_difficult;صَعْبٌ;صعب;ṣaʿbun;schwierig;adjectives;Grundadjektive;adjective;;;;;;;core;A1;2;2;adjectives|fusha|a1;draft;صَعْبٌ;صعب;;;;neutral;true;
adjective_fast;سَرِيعٌ;سريع;sarīʿun;schnell;adjectives;Grundadjektive;adjective;;;;;;;core;A1;2;2;adjectives|fusha|a1;draft;سَرِيعٌ;سريع;;;;neutral;true;
